,year,month,export_value,GDP_constant,import_value,inflation_percentage_change,interest_rate,manufac_prod_index,population,unemployment_rate,exchange_rate,consumer_price_index
127,2011,8,589610.0,676644.0,560886.0,0.43,0.87,98.67,63927502.0,0.68,29.88,92.6
128,2011,9,589610.0,676644.0,560886.0,-0.35,0.87,100.04,63966010.0,0.75,30.42,92.28
129,2011,10,493558.0,674797.0,509720.0,0.2,0.87,74.28,64011645.0,0.56,30.89,92.46
130,2011,11,493558.0,674797.0,509720.0,0.22,0.87,70.18,64029302.0,0.82,30.96,92.66
131,2011,12,493558.0,674797.0,509720.0,-0.47,0.87,86.14,64076033.0,0.43,31.22,92.22
132,2012,1,556129.0,757602.0,546237.0,0.39,0.75,88.11,64097781.0,0.81,31.58,92.58
133,2012,2,556129.0,757602.0,546237.0,0.37,0.75,95.8,64104702.0,0.66,30.73,92.92
134,2012,3,556129.0,757602.0,546237.0,0.59,0.75,95.85,64132250.0,0.73,30.7,93.47
135,2012,4,576767.0,720103.0,568539.0,0.42,0.75,97.34,64161701.0,0.97,30.89,93.86
136,2012,5,576767.0,720103.0,568539.0,0.39,0.75,100.14,64192834.0,0.92,31.34,94.23
137,2012,6,576767.0,720103.0,568539.0,0.17,0.75,97.94,64227329.0,0.67,31.66,94.39
138,2012,7,579830.0,710731.0,554399.0,0.34,0.75,100.41,64262682.0,0.56,31.65,94.71
139,2012,8,579830.0,710731.0,554399.0,0.4,0.75,99.31,64302503.0,0.56,31.44,95.09
140,2012,9,579830.0,710731.0,554399.0,0.33,0.75,98.1,64349776.0,0.63,31.0,95.4
141,2012,10,585301.0,779173.0,573447.0,0.14,0.75,101.28,64391572.0,0.56,30.69,95.53
142,2012,11,585301.0,779173.0,573447.0,-0.36,0.75,103.91,64424439.0,0.39,30.71,95.19
143,2012,12,585301.0,779173.0,573447.0,0.39,0.7,100.8,64456695.0,0.48,30.64,95.56
144,2013,1,583773.0,798443.0,591833.0,0.16,0.7,103.59,64487448.0,0.83,30.07,95.71
145,2013,2,583773.0,798443.0,591833.0,0.22,0.65,99.14,64505762.0,0.62,29.83,95.92
146,2013,3,583773.0,798443.0,591833.0,0.06,0.65,101.96,64532738.0,0.69,29.52,95.98
147,2013,4,584123.0,739729.0,584844.0,0.16,0.65,101.11,64559454.0,0.89,29.08,96.13
148,2013,5,584123.0,739729.0,584844.0,0.25,0.65,101.57,64568408.0,0.77,29.78,96.37
149,2013,6,584123.0,739729.0,584844.0,0.15,0.65,101.01,64599115.0,0.55,30.84,96.51
150,2013,7,592789.0,728426.0,553259.0,0.1,0.65,101.26,64627330.0,0.89,31.13,96.61
151,2013,8,592789.0,728426.0,553259.0,-0.01,0.6,100.62,64658709.0,0.81,31.61,96.6
152,2013,9,592789.0,728426.0,553259.0,0.17,0.6,98.51,64693672.0,0.67,31.71,96.76
153,2013,10,594579.0,780765.0,547740.0,0.17,0.6,100.22,64730060.0,0.62,31.22,96.92
154,2013,11,594579.0,780765.0,547740.0,0.1,0.6,97.99,64762387.0,0.72,31.64,97.02
155,2013,12,594579.0,780765.0,547740.0,0.14,0.5,96.4,64785909.0,0.62,32.35,97.16
156,2014,1,581579.0,795481.0,530895.0,0.41,0.5,96.33,64805593.0,0.94,32.94,97.56
157,2014,2,581579.0,795481.0,530895.0,0.25,0.5,95.54,64821560.0,0.86,32.65,97.8
158,2014,3,581579.0,795481.0,530895.0,0.2,0.4,96.15,64843618.0,0.88,32.39,98.0
159,2014,4,583121.0,745923.0,532587.0,0.5,0.4,98.07,64867549.0,0.9,32.32,98.49
160,2014,5,583121.0,745923.0,532587.0,0.41,0.4,97.23,64896677.0,0.94,32.53,98.89
161,2014,6,583121.0,745923.0,532587.0,-0.11,0.4,96.14,64924698.0,1.15,32.51,98.78
162,2014,7,574995.0,736304.0,551703.0,-0.08,0.4,96.47,64956150.0,0.97,32.1,98.7
163,2014,8,574995.0,736304.0,551703.0,-0.08,0.4,96.42,64988664.0,0.74,32.01,98.62
164,2014,9,574995.0,736304.0,551703.0,-0.17,0.4,97.79,65028365.0,0.8,32.19,98.45
165,2014,10,623230.0,799655.0,541271.0,-0.1,0.4,98.26,65066458.0,0.75,32.46,98.35
166,2014,11,623230.0,799655.0,541271.0,-0.11,0.4,95.8,65096559.0,0.55,32.79,98.24
167,2014,12,623230.0,799655.0,541271.0,-0.51,0.4,98.04,65124716.0,0.56,32.91,97.74
168,2015,1,591639.0,819892.0,546881.0,-0.58,0.4,97.54,65144936.0,1.06,32.74,97.17
169,2015,2,591639.0,819892.0,546881.0,0.11,0.4,99.13,65161334.0,0.82,32.57,97.28
170,2015,3,591639.0,819892.0,546881.0,0.17,0.4,96.56,65181783.0,0.99,32.63,97.45
171,2015,4,597421.0,767698.0,537767.0,0.02,0.4,97.77,65202368.0,0.85,32.52,97.47
172,2015,5,597421.0,767698.0,537767.0,0.16,0.4,95.88,65225659.0,0.93,33.56,97.63
173,2015,6,597421.0,767698.0,537767.0,0.1,0.4,96.73,65249611.0,0.83,33.73,97.73
174,2015,7,598968.0,761687.0,539449.0,-0.07,0.4,98.25,65277757.0,1.0,34.31,97.66
175,2015,8,598968.0,761687.0,539449.0,-0.22,0.4,95.91,65305772.0,0.97,35.43,97.45
176,2015,9,598968.0,761687.0,539449.0,-0.05,0.3,96.92,65338177.0,0.78,36.02,97.4
177,2015,10,604297.0,824532.0,532428.0,0.2,0.3,96.7,65678552.0,0.85,35.72,97.59
178,2015,11,604297.0,824532.0,532428.0,-0.32,0.3,95.22,65705163.0,0.9,35.78,97.28
179,2015,12,604297.0,824532.0,532428.0,-0.39,0.3,97.56,65729098.0,0.65,36.01,96.9
180,2016,1,618911.0,847183.0,523374.0,-0.26,0.3,97.0,65749209.0,0.91,36.16,96.65
181,2016,2,618911.0,847183.0,523374.0,0.14,0.3,100.72,65764010.0,0.87,35.6,96.79
182,2016,3,618911.0,847183.0,523374.0,0.22,0.3,100.29,65780834.0,1.04,35.24,97.0
183,2016,4,611644.0,796959.0,529472.0,0.55,0.3,100.67,65790679.0,1.04,35.09,97.53
184,2016,5,611644.0,796959.0,529472.0,0.56,0.3,98.69,65807410.0,1.2,35.45,98.08
185,2016,6,611644.0,796959.0,529472.0,0.03,0.3,101.02,65793711.0,1.01,35.3,98.11
